810101,8101,AMAHAI,-3.3093560814418304,129.17642313394015
810102,8101,TEON NILA SERUA,-3.2087567472424756,129.01536222604966
810106,8101,SERAM UTARA,-2.9924783132095105,129.50762946317178
810109,8101,BANDA,-4.5451210230384245,129.89365998476404
810111,8101,TEHORU,-3.2781541138532333,129.4733412707799
810112,8101,SAPARUA,-3.5551507171946906,128.61829982687715
810113,8101,PULAU HARUKU,-3.571505084081243,128.48329480142206
810114,8101,SALAHUTU,-3.559565448555998,128.29825689800222
810115,8101,LEIHITU,-3.622333518533625,128.0949846481069
810116,8101,NUSA LAUT,-3.668242342676311,128.78401262098953
810117,8101,KOTA MASOHI,-3.304911361154856,128.95860014132168
810120,8101,SERAM UTARA BARAT,-2.93849980351676,128.94097318313646
810121,8101,TELUK ELPAPUTIH,-3.1256252799142294,128.88947484045255
810122,8101,LEIHITU BARAT,-3.725053110009238,127.9966276576821
810123,8101,TELUTIH,-3.2580939992456592,129.75686702375356
810124,8101,SERAM UTARA TIMUR SETI,-3.0803771781352465,129.99552434154353
810125,8101,SERAM UTARA TIMUR KOBI,-3.015785433910532,129.78903176346904
810126,8101,SAPARUA TIMUR,-3.549233364434933,128.70914477261286
810201,8102,KEI KECIL,-5.695047136439462,132.72217127050752
810203,8102,KEI BESAR,-5.655300976167213,133.00888420193849
810204,8102,KEI BESAR SELATAN,-5.842336596369426,132.92400776202493
810205,8102,KEI BESAR UTARA TIMUR,-5.440836384169417,133.12843924567267
810213,8102,KEI KECIL TIMUR,-5.842545853778065,132.77453831099515
810214,8102,KEI KECIL BARAT,-5.886063806586803,132.62956105350648
810215,8102,MANYEUW,-5.691354611939275,132.6705876691042
810216,8102,HOAT SORBAY,-5.792006576720742,132.7129043403877
810217,8102,KEI BESAR UTARA BARAT,-5.437878324260184,133.0862126692336
810218,8102,KEI BESAR SELATAN BARAT,-5.9175410865629035,132.88397551773366
810219,8102,KEI KECIL TIMUR SELATAN,-5.9204655661174375,132.757730648091
810301,8103,TANIMBAR SELATAN,-7.916792318031714,131.2161629951687
810302,8103,SELARU,-8.193182310877205,130.9703635345299
810303,8103,WERTAMRIAN,-7.745484277207086,131.38192388668998
810304,8103,WERMAKTIAN,-7.617856709665739,131.13583358585035
810305,8103,TANIMBAR UTARA,-7.197221066749127,131.7418762409732
810306,8103,FORDATA,-7.040286546047796,131.94966369725742
810307,8103,WUAR LABOBAR,-7.404798167405362,131.43261249216118
810308,8103,KORMOMOLIN,-7.612661789695221,131.5281712967621
810309,8103,NIRUNMAS,-7.457963892473164,131.59158004693467
810318,8103,MOLU MARU,-6.773888431381675,131.54581552983967
810401,8104,NAMLEA,-3.2474335006479804,127.0374629257382
810402,8104,AIR BUAYA,-3.220876298788798,126.33621893773895
810403,8104,WAEAPO,-3.297108200333517,126.96046987017212
810406,8104,WAPLAU,-3.135724025559831,126.79197573725627
810410,8104,BATABUAL,-3.4894620350117176,127.21479484406386
810411,8104,LOLONG GUBA,-3.466378703861825,126.81411157811374
810412,8104,WAELATA,-3.518274994241162,126.95949994611026
810413,8104,FENA LEISELA,-3.2939689804369663,126.6379730795143
810414,8104,TELUK KAIELY,-3.4267849597899387,127.1154350555359
810415,8104,LILIALY,-3.1850529556695655,126.97801598402263
810501,8105,BULA,-3.205539334446427,130.4560309018248
810502,8105,SERAM TIMUR,-3.833174783809325,130.79712806753005
810503,8105,WERINAMA,-3.441241108269003,130.25011883875683
810504,8105,PULAU GOROM,-4.069686792353471,131.36207738923886
810505,8105,WAKATE,-4.484805112662122,131.6480588770498
810506,8105,TUTUK TOLU,-3.5567477477757374,130.74673165910687
810507,8105,SIWALALAT,-3.282153784601444,130.02613289930096
810508,8105,KILMURY,-3.6265693625241937,130.57323056689606
810509,8105,PULAU PANJANG,-4.013743774850612,131.2264157096026
810510,8105,TEOR,-4.74027799279899,131.74210111569843
810511,8105,GOROM TIMUR,-4.016775034528853,131.4238328880257
810512,8105,BULA BARAT,-3.1115582470288294,130.26557577503434
810513,8105,KIAN DARAT,-3.688426206443553,130.77995566414788
810514,8105,SIRITAUN WIDA TIMUR,-3.7585651847400343,130.7779271712403
810515,8105,TELUK WARU,-3.3855885296136976,130.592987625439
810516,8105,UKAR SENGAN,,
810601,8106,KAIRATU,-3.3788290324191372,128.42363176539888
810602,8106,SERAM BARAT,-3.0510821413733313,128.22060644352769
810603,8106,TANIWEL,-2.9575365694828117,128.46107741047064
810604,8106,HUAMUAL BELAKANG,-3.123318317527805,127.87963602961067
810605,8106,AMALATU,-3.373190432540444,128.59351644554667
810606,8106,INAMOSOL,-3.2047484394988315,128.4870371036418
810607,8106,KAIRATU BARAT,-3.215102940158514,128.34107612976297
810608,8106,HUAMUAL,-3.3086816254805926,127.98296461716912
810609,8106,KEPULAUAN MANIPA,-3.312839326142048,127.57089876452181
